MOST_POPULOUS_COUNTRIES_0001,India [Population],#1 · 1.45 billion
MOST_POPULOUS_COUNTRIES_0002,Most Populous Country: #1,India · 1.45 billion
MOST_POPULOUS_COUNTRIES_0003,China [Population],#2 · 1.42 billion
MOST_POPULOUS_COUNTRIES_0004,Most Populous Country: #2,China · 1.42 billion
MOST_POPULOUS_COUNTRIES_0005,United States [Population],#3 · 345 million
MOST_POPULOUS_COUNTRIES_0006,Most Populous Country: #3,United States · 345 million
MOST_POPULOUS_COUNTRIES_0007,Indonesia [Population],#4 · 283 million
MOST_POPULOUS_COUNTRIES_0008,Most Populous Country: #4,Indonesia · 283 million
MOST_POPULOUS_COUNTRIES_0009,Pakistan [Population],#5 · 251 million
MOST_POPULOUS_COUNTRIES_0010,Most Populous Country: #5,Pakistan · 251 million
MOST_POPULOUS_COUNTRIES_0011,Nigeria [Population],#6 · 233 million
MOST_POPULOUS_COUNTRIES_0012,Most Populous Country: #6,Nigeria · 233 million
MOST_POPULOUS_COUNTRIES_0013,Brazil [Population],#7 · 212 million
MOST_POPULOUS_COUNTRIES_0014,Most Populous Country: #7,Brazil · 212 million
MOST_POPULOUS_COUNTRIES_0015,Bangladesh [Population],#8 · 174 million
MOST_POPULOUS_COUNTRIES_0016,Most Populous Country: #8,Bangladesh · 174 million
MOST_POPULOUS_COUNTRIES_0017,Russia [Population],#9 · 145 million
MOST_POPULOUS_COUNTRIES_0018,Most Populous Country: #9,Russia · 145 million
MOST_POPULOUS_COUNTRIES_0019,Ethiopia [Population],#10 · 132 million
MOST_POPULOUS_COUNTRIES_0020,Most Populous Country: #10,Ethiopia · 132 million
MOST_POPULOUS_COUNTRIES_0021,Mexico [Population],#11 · 131 million
MOST_POPULOUS_COUNTRIES_0022,Most Populous Country: #11,Mexico · 131 million
MOST_POPULOUS_COUNTRIES_0023,Japan [Population],#12 · 124 million
MOST_POPULOUS_COUNTRIES_0024,Most Populous Country: #12,Japan · 124 million
MOST_POPULOUS_COUNTRIES_0025,Egypt [Population],#13 · 117 million
MOST_POPULOUS_COUNTRIES_0026,Most Populous Country: #13,Egypt · 117 million
MOST_POPULOUS_COUNTRIES_0027,Philippines [Population],#14 · 116 million
MOST_POPULOUS_COUNTRIES_0028,Most Populous Country: #14,Philippines · 116 million
MOST_POPULOUS_COUNTRIES_0029,Democratic Republic of the Congo [Population],#15 · 109 million
MOST_POPULOUS_COUNTRIES_0030,Most Populous Country: #15,Democratic Republic of the Congo · 109 million
MOST_POPULOUS_COUNTRIES_0031,Vietnam [Population],#16 · 101 million
MOST_POPULOUS_COUNTRIES_0032,Most Populous Country: #16,Vietnam · 101 million
MOST_POPULOUS_COUNTRIES_0033,Iran [Population],#17 · 92 million
MOST_POPULOUS_COUNTRIES_0034,Most Populous Country: #17,Iran · 92 million
MOST_POPULOUS_COUNTRIES_0035,Turkey [Population],#18 · 87 million
MOST_POPULOUS_COUNTRIES_0036,Most Populous Country: #18,Turkey · 87 million
MOST_POPULOUS_COUNTRIES_0037,Germany [Population],#19 · 85 million
MOST_POPULOUS_COUNTRIES_0038,Most Populous Country: #19,Germany · 85 million
MOST_POPULOUS_COUNTRIES_0039,Thailand [Population],#20 · 72 million
MOST_POPULOUS_COUNTRIES_0040,Most Populous Country: #20,Thailand · 72 million
